No viniste nunca más por aquí.
No entiendo cómo pueden hacer eso.
Ya no quedan formas de salir de aquí sin arriesgarse demasiado.
No te conviene quejarte justa ahora.
Tampoco irás al cine este fin de semana.
No pueden fumar en un lugar cerrado.
Nunca jugaron juntos en la infancia.
Ya no seguirán igual las cosas aquí.
Todavía no estoy preparado para una tarea de ese tipo.
No había visto nunca un aeropuerto del tamaño de este.
Ningún colectivo de los de esta estación llega a tu casa.
Espero no equivocarme con mi pronóstico.
Jamás pensé que podría llegar a pasar algo así.
No había manera de fallar, no puedo creer lo que sucedió.
No entiendo nada de lo que enseñaron la semana pasada.
De ningún modo esperaré hasta esa hora.
No cumplieron con lo pactado.
En toda esta semana no lloverá.
De nuevo, la profesora de matemáticas no vino.
Nadie comprende lo que busca el presidente.

Aburrido	Estúpido	Pánfilo
Agresivo	Excéntrico	Parcial
Antipático	Falso	Perdedor
Autoritario 	Fisgón	Perezoso
Avaricioso	Frívolo	Pesado
Avaro	Hipócrita	Pesimista
Ávido	Impaciente	Posesivo
Celoso	Imprudente	Presumido
Chiflado	Imprevisible	Provocador
Cobarde	Infiel	Quisquilloso
Codicioso	Influenciable	Raro
Creído (engreído)	Ingenuo	Rencoroso
Crédulo	Inseguro	Resentido
Critico	Intolerante	Tacaño
Cruel	Introvertido	Terco
Débil	Irrespetuoso	Testarudo
Desafiante	Loco	Tímido
Desleal	Malhumorado	Tonto
Desagradable	Malicioso	Tramposo
Deshonesto	Malo	Torpe
Desobediente	Malvado	Travieso
Desorganizado	Mandón	Vago
Despistado	Materialista	Vengativo
Despreciable	Mezquino	Vergonzoso
Egoísta	Negligente	Vicioso
Envidioso	Olvidadizo	Zoquete
Estricto	Orgulloso	

